"Luna","Alba","Arad","Argeș","Bacău","Bihor","Bistrița-Năsăud","Botoșani","Brașov","Brăila","Buzău","Caraș-Severin","Călărași","Cluj","Constanța","Covasna","Dâmbovița","Dolj","Galați","Giurgiu","Gorj","Harghita","Hunedoara","Ialomița","Iași","Ilfov","Maramureș","Mehedinți","Mureș","Neamț","Olt","Prahova","Satu Mare","Sălaj","Sibiu","Suceava","Teleorman","Timiș","Tulcea","Vaslui","Vâlcea","Vrancea","Mun. București"
"Apr-20","141.00","339.00","67.00","94.00","219.00","93.00","290.00","286.00","16.00","14.00","58.00","41.00","215.00","168.00","123.00","31.00","55.00","240.00","80.00","10.00","9.00","333.00","114.00","130.00","154.00","55.00","28.00","250.00","348.00","13.00","48.00","41.00","19.00","125.00","1910.00","76.00","341.00","24.00","54.00","15","174","866"
"May-20","265.00","696.00","210.00","431.00","501.00","301.00","659.00","616.00","20.00","105.00","110.00","73.00","526.00","258.00","228.00","228.00","165.00","537.00","205.00","90.00","63.00","616.00","321.00","366.00","416.00","81.00","92.00","652.00","834.00","53.00","79.00","57.00","75.00","451.00","3421.00","114.00","494.00","108.00","146.00","27","507","1,636"
"Jun-20","431.00","706.00","704.00","608.00","668.00","503.00","995.00","1351.00","161.00","479.00","113.00","163.00","669.00","411.00","273.00","477.00","277.00","821.00","265.00","212.00","302.00","652.00","420.00","957.00","709.00","154.00","181.00","728.00","957.00","186.00","344.00","76.00","114.00","632.00","3983.00","158.00","516.00","176.00","173.00","49","992","2,918"
"Jul-20","642.00","865.00","2472.00","1075.00","765.00","761.00","1125.00","2643.00","544.00","1099.00","182.00","256.00","973.00","745.00","386.00","1413.00","533.00","1822.00","348.00","643.00","437.00","848.00","669.00","1220.00","1105.00","313.00","449.00","892.00","1108.00","581.00","1323.00","87.00","142.00","832.00","4371.00","298.00","917.00","252.00","467.00","308","1465","4976"
"Aug-20","945.00","1511.00","4663.00","2134.00","1799.00","1048.00","1250.00","4029.00","1330.00","1900.00","517.00","421.00","1705.00","1374.00","633.00","2685.00","1371.00","2920.00","565.00","1341.00","642.00","1424.00","888.00","2180.00","1833.00","878.00","1010.00","1221.00","1834.00","1101.00","3345.00","203.00","285.00","1230.00","4996.00","483.00","2034.00","394.00","1398.00","899","2227","8906"
"Sep-20","1486.00","2373.00","5368.00","3799.00","3216.00","1383.00","1510.00","5419.00","2173.00","2624.00","1116.00","716.00","2800.00","2280.00","1062.00","3678.00","2403.00","3768.00","977.00","1818.00","876.00","2071.00","1141.00","4167.00","2885.00","1738.00","1323.00","1640.00","2812.00","1696.00","5261.00","517.00","577.00","1931.00","6137.00","944.00","3397.00","731.00","2502.00","1824","2588","14707"
"Oct-20","3573.00","3894.00","6135.00","6777.00","4771.00","2004.00","2377.00","7969.00","3032.00","3334.00","2056.00","1257.00","5972.00","4404.00","1745.00","5281.00","4605.00","5513.00","1564.00","2507.00","2081.00","3352.00","1741.00","8215.00","4674.00","3168.00","1741.00","3309.00","4928.00","2813.00","8112.00","1198.00","1526.00","3677.00","8038.00","2439.00","6168.00","1235.00","4189.00","3784","3124","27829"
"Nov-20","9881.00","11191.00","13565.00","12948.00","13938.00","5783.00","6103.00","18964.00","5633.00","6490.00","4743.00","4277.00","21569.00","16896.00","4166.00","11369.00","12117.00","10212.00","4026.00","4318.00","4651.00","8764.00","4623.00","19912.00","15249.00","8541.00","3935.00","11997.00","9324.00","7285.00","19122.00","5576.00","5529.00","13982.00","13075.00","5529.00","18967.00","3663.00","7678.00","8011","5383","67017"
"Dec-20","11690.00","13420.00","17493.00","15500.00","16782.00","6932.00","7596.00","23794.00","7520.00","7861.00","5933.00","5863.00","27454.00","24324.00","4821.00","13881.00","14409.00","14400.00","5777.00","4883.00","5163.00","10900.00","6244.00","25311.00","21677.00","9963.00","4706.00","14371.00","10521.00","8878.00","22814.00","6668.00","6004.00","16352.00","14863.00","6951.00","23718.00","4972.00","9574.00","9353","6737","92253"
"Jan-21","13823.00","15734.00","20232.00","18693.00","20079.00","8245.00","9852.00","28804.00","9328.00","8996.00","7685.00","7172.00","35451.00","29927.00","5551.00","16582.00","17446.00","18835.00","7299.00","5767.00","5808.00","13611.00","7663.00","31290.00","28562.00","13661.00","5572.00","16698.00","12749.00","10570.00","26084.00","8419.00","7184.00","18452.00","18886.00","8972.00","32420.00","6076.00","11999.00","11064","7759","118485"
"Feb-21","15440.00","17176.00","21078.00","20210.00","21194.00","8745.00","10858.00","31893.00","9773.00","9520.00","8296.00","7579.00","39685.00","31918.00","5910.00","17724.00","19381.00","20271.00","7760.00","6773.00","6204.00","15530.00","8191.00","33457.00","31196.00","16731.00","6004.00","17899.00","13915.00","11309.00","27204.00","9762.00","7936.00","19940.00","20894.00","9806.00","38483.00","6395.00","12931.00","11819","8224","128453"
"Mar-21","16272.00","18076.00","21715.00","21057.00","22275.00","9117.00","11404.00","33887.00","10146.00","9837.00","8623.00","7871.00","42371.00","33425.00","6154.00","18561.00","20674.00","21209.00","8320.00","7497.00","6437.00","16733.00","8500.00","34808.00","33021.00","17889.00","6339.00","18480.00","14668.00","11778.00","27876.00","10492.00","8527.00","20855.00","21628.00","10329.00","42248.00","6639.00","13484.00","12576","8592","135960"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
